Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2020-07-14 17:00:00,9229.88,9273.01,9223.45,9250.62,112.65,1041479.72,9244.91
2020-07-14 18:00:00,9247.95,9260.82,9237.5,9250,87.76,811799.7,9250.65
2020-07-14 19:00:00,9252.83,9271.33,9242.45,9270.26,97.9,906178.81,9256.62
2020-07-14 20:00:00,9270.76,9281.41,9258.96,9273.5,696.69,6464403.56,9278.67
2020-07-14 21:00:00,9273.5,9282.08,9240.02,9246.32,112.15,1038670.89,9261.49
2020-07-14 22:00:00,9246.32,9270.4,9241.08,9256.86,81.52,754763.16,9258.64
2020-07-14 23:00:00,9251.07,9274.72,9249.14,9251.59,65.23,603876.36,9258.06
2020-07-15 0:00:00,9256.33,9276.98,9254.82,9259.5,52.45,485934.74,9265.3
2020-07-15 1:00:00,9259.19,9267.07,9240,9247.61,63.92,591232.53,9249.66
2020-07-15 2:00:00,9248.15,9253.12,9237.29,9241.34,33.85,312960.47,9245.35
2020-07-15 3:00:00,9246.24,9252.97,9229.48,9232.46,52.93,489220.54,9242.82
2020-07-15 4:00:00,9231.97,9246.73,9222,9245.49,77.13,712218.55,9233.42
2020-07-15 5:00:00,9243,9248.46,9235.72,9239.92,68.69,634665.48,9240.18
2020-07-15 6:00:00,9241.01,9243.08,9227,9233.76,51.62,476700.52,9235.23
2020-07-15 7:00:00,9230.01,9237.36,9216.72,9227.85,174.32,1608542.84,9227.61
2020-07-15 8:00:00,9227.5,9229.9,9196.99,9210.57,419.92,3868024.78,9211.24
2020-07-15 9:00:00,9210.52,9221.97,9185.26,9215.15,567.87,5226277.61,9203.37
2020-07-15 10:00:00,9219.84,9247.1,9210.5,9236.46,202.2,1866844.59,9232.85
2020-07-15 11:00:00,9236.46,9246.43,9211.65,9213.7,221.19,2041502.12,9229.82
2020-07-15 12:00:00,9211.81,9245.59,9210.55,9235.77,119.8,1105485.4,9228.03
2020-07-15 13:00:00,9236.01,9241.84,9213.52,9225.82,49.72,458832.34,9228.74
2020-07-15 14:00:00,9220.79,9239,9215.21,9238.99,107.22,989396.67,9227.99
2020-07-15 15:00:00,9238.99,9247.27,9188.48,9195.07,342.27,3152708.6,9211.2
2020-07-15 16:00:00,9194.77,9209.82,9175.73,9198.92,249.96,2297997.26,9193.63
2020-07-15 17:00:00,9200.54,9216.76,9194.68,9195.98,127.5,1174132.6,9208.54
2020-07-15 18:00:00,9198.33,9209.9,9153.38,9181.12,205.36,1886598.06,9186.97
2020-07-15 19:00:00,9175.17,9187.52,9159.05,9175.83,185.58,1702385.97,9173.45
2020-07-15 20:00:00,9175.17,9215.95,9169.08,9215.88,98.43,905277.35,9197.42
2020-07-15 21:00:00,9214.82,9231.9,9197.63,9227.87,76.28,703095.47,9217.69
2020-07-15 22:00:00,9228.22,9230.53,9200,9200,119.47,1101479.48,9219.65
2020-07-15 23:00:00,9203.19,9205.9,9181.88,9190.07,142.41,1309317.01,9194.27
2020-07-16 0:00:00,9191,9215.19,9171.96,9206.77,83.57,768522.49,9196.26
2020-07-16 1:00:00,9205.07,9217.5,9199.63,9210.63,43.09,396834.75,9208.7
2020-07-16 2:00:00,9212.66,9216.13,9191.54,9191.55,34.96,321714,9202.55
2020-07-16 3:00:00,9195.68,9199.6,9185.71,9193.51,24.1,221603.08,9194.9
2020-07-16 4:00:00,9195.44,9208.62,9194.28,9195.02,61.11,562186.85,9199.94
2020-07-16 5:00:00,9195.17,9200.83,9177.89,9194.2,157.24,1444764.6,9188.54
2020-07-16 6:00:00,9192.82,9198.56,9133.68,9169.28,238.21,2183467.14,9166.22
2020-07-16 7:00:00,9164.35,9166.71,9026.51,9112.53,1346.35,12258859.57,9105.29
2020-07-16 8:00:00,9110.79,9125.21,9090.15,9109.87,471.93,4299070.64,9109.48
2020-07-16 9:00:00,9106.8,9106.8,9040.25,9054.86,672.96,6105006.34,9071.91
2020-07-16 10:00:00,9055.12,9091.11,9028.35,9088.77,316.31,2865262.54,9058.36
2020-07-16 11:00:00,9091.31,9095.26,9066.23,9066.42,163.46,1484853.7,9083.88
2020-07-16 12:00:00,9068.95,9094.15,9067.39,9069.44,243.76,2213572.92,9080.95
2020-07-16 13:00:00,9074.9,9089.78,9059.35,9070.95,190.59,1729743.39,9075.55
2020-07-16 14:00:00,9073.55,9114.64,9058.76,9105.28,215.5,1957802.75,9085.07
2020-07-16 15:00:00,9105.1,9122.86,9090.57,9111.84,369.61,3368204.93,9112.9
2020-07-16 16:00:00,9116,9139,9109.2,9112.77,203.42,1856008.2,9123.84
2020-07-16 17:00:00,9114.13,9131.79,9113.24,9125.46,83.64,763090.52,9123.95
2020-07-16 18:00:00,9124.36,9153.83,9116.22,9122.08,115.7,1057028.29,9135.84
2020-07-16 19:00:00,9119.07,9128.57,9108.13,9119.12,143.85,1311824.24,9119.09
2020-07-16 20:00:00,9119.12,9124.66,9084.65,9102.7,124.78,1135827.09,9102.81
2020-07-16 21:00:00,9102.71,9130.83,9102.68,9123.92,97.89,892061.18,9112.72
2020-07-16 22:00:00,9127.83,9144.26,9123.9,9129.98,87.05,795090.28,9133.54
2020-07-16 23:00:00,9134.8,9143.16,9123.62,9132.87,52.78,482057.77,9134.11
2020-07-17 0:00:00,9134.44,9139.3,9111.75,9115.21,69.61,635212.1,9125.56
2020-07-17 1:00:00,9115.21,9136.06,9110.07,9117.02,65.64,598873.09,9124.01
2020-07-17 2:00:00,9116.63,9130.32,9110.56,9122.14,37.26,339834.48,9120.22
2020-07-17 3:00:00,9122.04,9122.84,9104.93,9113.44,41.46,377846.2,9114.45
2020-07-17 4:00:00,9113.46,9120.5,9101,9107.8,142.17,1295273.45,9110.92
2020-07-17 5:00:00,9108.91,9115.71,9073.53,9099.35,223.4,2031814.62,9095.06
2020-07-17 6:00:00,9097.41,9130.5,9097.33,9114,286.44,2610685.93,9114.22
2020-07-17 7:00:00,9114,9126,9095.92,9100.97,239.42,2180393.5,9107.03
2020-07-17 8:00:00,9100.91,9107.11,9085.38,9097,280.07,2547085.28,9094.54
2020-07-17 9:00:00,9097.18,9117.66,9091.65,9113.72,114.62,1043161.98,9100.76
2020-07-17 10:00:00,9113.72,9124.84,9104.11,9116.71,103.55,943668.84,9113.6
2020-07-17 11:00:00,9115.14,9137.23,9097.37,9136.84,237.14,2161020.57,9112.99
2020-07-17 12:00:00,9134.3,9184.28,9133.49,9158,274.58,2515965.99,9163.01
2020-07-17 13:00:00,9160.1,9172.63,9145,9160.37,93.78,858727.8,9156.8
2020-07-17 14:00:00,9155.09,9161.42,9134.13,9150,127.71,1168223.14,9147.27
